feature,family,vif,r2_vs_all_others
VB3_T9,VB3,879955882.9681,1.0
VB3_T10,VB3,1934488717.5094,1.0
VB3_T11,VB3,2154185805.2987,1.0
VB3_T12,VB3,1654147574.9843,1.0
VB4_T1,VB4,62237947.4506,1.0
VB4_T2,VB4,84817977.2832,1.0
VB4_T3,VB4,122392340.2607,1.0
VB4_T4,VB4,222427258.5046,1.0
VB4_T5,VB4,352145625.0627,1.0
VB4_T6,VB4,312505137.1407,1.0
VB4_T7,VB4,263026141.5779,1.0
VB4_T8,VB4,583150161.6201,1.0
VB4_T9,VB4,880118280.5814,1.0
PB12_T5,PB12,1779922802.0124,1.0
PV3_B1_T9,PV3,111268505238.5651,1.0
PB12_T3,PB12,186340949.6444,1.0
BB4_T4,BB4,103388445078.4497,1.0
BB15_T6,BB15,228710092893.7984,1.0
BB4_T3,BB4,191549272596.9577,1.0
PB5_T3,PB5,186559793.8004,1.0
BB15_T4,BB15,200562612069.7917,1.0
PB5_T5,PB5,1779814750.9161,1.0
PB5_T6,PB5,942203495.0762,1.0
PB5_T7,PB5,1820356324.3102,1.0
BB7_T2,BB7,116007012485.8015,1.0
BB15_T2,BB15,268550456269.007,1.0
PB5_T10,PB5,10727760249.2409,1.0
PB5_T11,PB5,21853401289.209,1.0
BB15_T1,BB15,352371175916.8014,1.0
BB14_T1,BB14,218784232641.0156,1.0
BB3_T10,BB3,10756551172.7264,1.0
PB7_T3,PB7,19535724.3639,1.0
BB7_T3,BB7,488126429507.6256,1.0
PB7_T5,PB7,3662700.9798,1.0
BB3_T8,BB3,1239534994.0685,1.0
PB7_T7,PB7,27523271.0696,1.0
PB7_T8,PB7,34860846.3856,1.0
BB3_T7,BB3,554244177.3618,1.0
BB14_T7,BB14,191870575845.348,1.0
BB14_T6,BB14,29130844085.4776,1.0
PB7_T12,PB7,120332857.8082,1.0
BB3_T6,BB3,265620814.3887,1.0
BB3_T4,BB3,370283451.297,1.0
BB3_T2,BB3,13790235.6464,1.0
PB4_T12,PB4,29423577052.086,1.0
BB4_T5,BB4,48764687699.2352,1.0
BB7_T6,BB7,167403978281.149,1.0
BB15_T9,BB15,383485982373.2854,1.0
BB5_T11,BB5,174662654864.7615,1.0
BB5_T10,BB5,85588030086.7047,1.0
BB6_T3,BB6,190623647000.9966,1.0
BB22,BB22,8492778558.7433,1.0
PB1_T7,PB1,1809884042.8287,1.0
PB1_T8,PB1,1641338546.9155,1.0
BB6_T4,BB6,102427582938.5346,1.0
BB20,BB20,124527044017.446,1.0
BB5_T7,BB5,43691197190.8101,1.0
PB1_T12,PB1,29424307039.4394,1.0
BB6_T5,BB6,48920089657.7127,1.0
BB5_T5,BB5,42422689247.968,1.0
BB6_T6,BB6,80164863760.5263,1.0
BB6_T7,BB6,51313364777.5836,1.0
